epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.96565,2.28562,4.25384,2.41874,0.00023,0.1221,0.00038,8e-05,3.87778,3.77023,4.94704,0.0901,0.0011,0.0011
2,8.52912,2.61326,3.88241,2.64488,0.14525,0.01813,0.00171,0.00041,3.23113,45.0947,32.5411,0.0792886,0.00228861,0.00228861
3,12.1752,2.56693,3.89466,2.63198,0.00029,0.18425,0.00041,0.00013,4.47883,inf,679.834,0.0684654,0.00346535,0.00346535
4,22.3582,2.66797,3.98225,2.71852,0,0,0,0,nan,nan,nan,0.0576302,0.0046302,0.0046302
5,31.1656,2.61869,3.87543,2.66563,0,0,0,0,nan,nan,nan,0.0467832,0.00578318,0.00578318
6,39.808,2.5126,3.86838,2.67433,0,0,0,0,4.33918,inf,2105.87,0.0359243,0.00692427,0.00692427
7,44.546,2.51458,3.82546,2.6532,2e-05,0.025,2e-05,0,3.99413,inf,161.725,0.0250535,0.00805349,0.00805349
8,47.6767,2.45645,3.80151,2.62926,0,0,0,0,0,0.09269,0,0.0141708,0.00917082,0.00917082
9,51.2959,2.44247,3.73726,2.55543,6e-05,0.03242,4e-05,1e-05,3.25989,inf,602.818,0.009604,0.009604,0.009604
10,54.9871,2.44011,3.63451,2.56999,0,0,0,0,5.19999,inf,165.828,0.0095545,0.0095545,0.0095545
11,58.6297,2.33215,3.69537,2.53599,0,0,0,0,4.76022,inf,101.504,0.009505,0.009505,0.009505
12,62.4452,2.4014,3.68163,2.55208,0,0,0,0,5.17123,inf,355.197,0.0094555,0.0094555,0.0094555
13,66.8312,2.34608,3.63878,2.50944,0,0,0,0,5.71233,inf,833.241,0.009406,0.009406,0.009406
14,70.474,2.318,3.63274,2.50071,0,0,0,0,4.98335,inf,145.228,0.0093565,0.0093565,0.0093565
15,74.0816,2.34934,3.67389,2.50403,0.28854,0.00454,0.0003,8e-05,4.16234,128.59,13.827,0.009307,0.009307,0.009307
16,77.8521,2.34888,3.61619,2.54941,0.00086,0.02031,0.00042,6e-05,3.65911,inf,5.87509,0.0092575,0.0092575,0.0092575
17,81.931,2.27839,3.5513,2.41214,0.28981,0.00357,0.0012,0.0003,3.18237,inf,4.12445,0.009208,0.009208,0.009208
18,85.8805,2.24047,3.4917,2.46156,0.14342,0.01944,0.00021,7e-05,2.90832,151.53,3.7163,0.0091585,0.0091585,0.0091585
19,89.3154,2.19753,3.56206,2.44636,0.57173,0.00227,0.00016,3e-05,3.61851,27.8239,4.97335,0.009109,0.009109,0.009109
20,92.7372,2.19261,3.43182,2.43735,0.28609,0.01944,0.00069,0.0002,3.5323,5.96623,4.5037,0.0090595,0.0090595,0.0090595
21,96.1606,2.24256,3.50121,2.46837,0.58714,0.00907,0.00555,0.00172,2.99503,5.87229,3.62819,0.00901,0.00901,0.00901
22,99.6943,2.18494,3.3716,2.40964,0.58035,0.0068,0.00373,0.00112,2.86628,10.1745,3.84666,0.0089605,0.0089605,0.0089605
23,103.144,2.19587,3.46156,2.43292,0.28944,0.06576,0.00686,0.00196,2.66679,5.51847,3.75791,0.008911,0.008911,0.008911
24,106.648,2.17604,3.52203,2.43392,0.53302,0.09654,0.01162,0.00355,2.64757,5.60938,3.28224,0.0088615,0.0088615,0.0088615
25,110.147,2.18913,3.51728,2.42771,0.58366,0.0292,0.01389,0.00303,2.83209,7.07822,3.35331,0.008812,0.008812,0.008812
26,113.562,2.24582,3.40078,2.42413,0.59749,0.02143,0.01566,0.00397,2.59344,5.00085,2.93489,0.0087625,0.0087625,0.0087625
27,117.064,2.15081,3.53608,2.41024,0.15636,0.14569,0.0102,0.003,2.47827,6.45529,2.952,0.008713,0.008713,0.008713
28,120.588,2.16072,3.47821,2.349,0.30217,0.0322,0.01868,0.00484,2.52616,14.024,3.07414,0.0086635,0.0086635,0.0086635
29,124.082,2.10998,3.3992,2.34946,0.45995,0.08372,0.03387,0.00856,2.39647,4.54192,2.94303,0.008614,0.008614,0.008614
30,127.526,2.17734,3.44718,2.43877,0.33116,0.0712,0.01845,0.00551,2.53228,4.27679,3.03827,0.0085645,0.0085645,0.0085645
31,130.93,2.15145,3.28547,2.39712,0.58375,0.02143,0.01899,0.00636,2.57284,4.5525,3.18477,0.008515,0.008515,0.008515
32,134.327,2.15302,3.31815,2.36996,0.46128,0.04014,0.01071,0.00257,2.83859,3.82577,3.43348,0.0084655,0.0084655,0.0084655
33,137.741,2.10716,3.34602,2.35042,0.50976,0.01264,0.02329,0.00658,2.65174,3.8434,3.0691,0.008416,0.008416,0.008416
34,141.153,2.19529,3.33366,2.42688,0.672,0.06967,0.06036,0.0172,2.40296,3.30602,2.87561,0.0083665,0.0083665,0.0083665
